frame_idx,threshold,precision,recall,f1_score,iou,pixel_accuracy,tp,fp,tn,fn,detected_objects,missed_objects,total_gt_objects,detection_rate
0,0.3,0.9611077564911895,0.5717247910135841,0.7169591122212896,0.5587967765100136,0.64,35017,1417,14135,26231,1,0,1,1.0
0,0.4,0.9742114849966447,0.49774686520376177,0.6588647194216618,0.491273869954073,0.5889453125,30486,807,14745,30762,1,0,1,1.0
0,0.5,0.9898353013107112,0.42291993207941486,0.5926307240010524,0.42109113372565593,0.5363151041666666,25903,266,15286,35345,1,0,1,1.0
0,0.6,0.9967365717954205,0.30418952455590387,0.4661245934450839,0.30388686815965027,0.444296875,18631,61,15491,42617,1,0,1,1.0
0,0.7,0.9972332380337545,0.17654454022988506,0.2999819672358547,0.17645810894611444,0.3429036458333333,10813,30,15522,50435,1,0,1,1.0
1,0.3,0.0,0.0,0.0,0.0,0.4622265625,0,41301,35499,0,0,0,0,1.0
1,0.4,0.0,0.0,0.0,0.0,0.4894921875,0,39207,37593,0,0,0,0,1.0
1,0.5,0.0,0.0,0.0,0.0,0.5298697916666667,0,36106,40694,0,0,0,0,1.0
1,0.6,0.0,0.0,0.0,0.0,0.5879036458333333,0,31649,45151,0,0,0,0,1.0
1,0.7,0.0,0.0,0.0,0.0,0.7341536458333333,0,20417,56383,0,0,0,0,1.0
2,0.3,0.9787827472855862,0.6069459672313418,0.7492684414705518,0.5990641527839169,0.6574869791666667,39304,852,11191,25453,1,0,1,1.0
2,0.4,0.9846691196075295,0.5703012801704835,0.7222749185922573,0.5652819445294802,0.6301953125,36931,575,11468,27826,1,0,1,1.0
2,0.5,0.9897511412163157,0.5189709220624797,0.6809101223762055,0.5161969126795177,0.5898697916666666,33607,348,11695,31150,1,0,1,1.0
2,0.6,0.9927123584841706,0.4522599873372763,0.6214154616535291,0.4507634057747953,0.5353515625,29287,215,11828,35470,1,0,1,1.0
2,0.7,0.9941857575908165,0.3089395741000973,0.47139491046182846,0.308382402811604,0.41578125,20006,117,11926,44751,1,0,1,1.0
3,0.3,0.9691284789164072,0.6054789443612274,0.7453119802309557,0.594021755597976,0.6510807291666667,39209,1249,10794,25548,1,0,1,1.0
3,0.4,0.9752448164560424,0.5505659619809441,0.7038049647140107,0.5429776735402516,0.6092578125,35653,905,11138,29104,1,0,1,1.0
3,0.5,0.984163844541203,0.4712077458807542,0.6372882771871933,0.46766184404119665,0.547734375,30514,491,11552,34243,1,0,1,1.0
3,0.6,0.9905306057215918,0.3828311997158608,0.5522303280057916,0.381435209403945,0.4765234375,24791,237,11806,39966,1,0,1,1.0
3,0.7,0.995906881555385,0.18035115894806739,0.3053972072590346,0.1802175758043361,0.3082552083333333,11679,48,11995,53078,1,0,1,1.0
4,0.3,0.9642975798001482,0.6116190105686312,0.7484948572222055,0.5980757342801439,0.6698307291666666,37732,1397,13711,23960,1,0,1,1.0
4,0.4,0.9761221656640444,0.5128865979381443,0.6724473206031432,0.5065315531649217,0.5986328125,31641,774,14334,30051,1,0,1,1.0
4,0.5,0.9913292529817953,0.4095668806328211,0.579651296168846,0.4081049214219954,0.5228385416666667,25267,221,14887,36425,1,0,1,1.0
4,0.6,0.9949109414758269,0.24084160020748233,0.387805705635163,0.2405452661572335,0.38919270833333336,14858,76,15032,46834,1,0,1,1.0
4,0.7,0.9948583624369421,0.16622900862348441,0.2848611111111111,0.1660863227791724,0.32955729166666664,10255,53,15055,51437,1,0,1,1.0
5,0.3,0.9607629739947302,0.5523066284698211,0.7014029732159659,0.5401236555677208,0.6280989583333333,33546,1370,14692,27192,1,0,1,1.0
5,0.4,0.9765682533306554,0.4803253317527742,0.6439323709883901,0.47485269702789806,0.5798958333333334,29174,700,15362,31564,1,0,1,1.0
5,0.5,0.991159788773714,0.41718528762883206,0.5872101780934614,0.415638737615642,0.5361328125,25339,226,15836,35399,1,0,1,1.0
5,0.6,0.9944874436215825,0.294049853468998,0.45389277863196814,0.2935713463846015,0.44040364583333336,17860,99,15963,42878,1,0,1,1.0
5,0.7,0.9949426533008218,0.18138562349764561,0.30683321496706634,0.1812185413034181,0.35186197916666667,11017,56,16006,49721,1,0,1,1.0
6,0.3,0.0,0.0,0.0,0.0,0.4741796875,0,40383,36417,0,0,0,0,1.0
6,0.4,0.0,0.0,0.0,0.0,0.5102604166666667,0,37612,39188,0,0,0,0,1.0
6,0.5,0.0,0.0,0.0,0.0,0.5533072916666667,0,34306,42494,0,0,0,0,1.0
6,0.6,0.0,0.0,0.0,0.0,0.601875,0,30576,46224,0,0,0,0,1.0
6,0.7,0.0,0.0,0.0,0.0,0.6885026041666666,0,23923,52877,0,0,0,0,1.0
7,0.3,0.9600548004083168,0.6127245919626937,0.7480377587542123,0.5974922678257962,0.6865104166666667,35739,1487,16985,22589,1,0,1,1.0
7,0.4,0.9684857117421882,0.5595425867507886,0.709291838264857,0.5495369590840209,0.6516536458333333,32637,1062,17410,25691,1,0,1,1.0
7,0.5,0.9784664922519621,0.5001371553970648,0.6619318826439154,0.4946922163812108,0.6120052083333334,29172,642,17830,29156,1,0,1,1.0
7,0.6,0.9877510439451184,0.425816074612536,0.5950906281072922,0.42357937103485915,0.5599088541666667,24837,308,18164,33491,1,0,1,1.0
7,0.7,0.991512012660049,0.23631874914277876,0.38166966634362454,0.2358416315915546,0.41846354166666666,13784,118,18354,44544,1,0,1,1.0
8,0.3,0.9946730345334313,0.529377260729299,0.6909972564282525,0.5278806784948333,0.621640625,32490,174,15252,28884,1,0,1,1.0
